NumGens,PopSize,Tree_S,XO_P,XO_R,MU_R,Elitism,RNG_Seed,Trial,FitEvals,EndGen,Geno1,Geno2,Geno3,Fitness,Yield
30000,200,0,1,0.5,0.001,0,972258516071665,7,29,2500,1000000000000010010001000001000000101101001000101000000011001000001000100,0000000000001000000000010100000100000010000000000001010000010110000000010,0000111000000001101000101000001001000000100100010000100100000000000010001,391611992.01679706573486328125,71567.807000000000698491930961608887
30000,200,0,1,0.5,0.001,0,972273260908059,8,15,2500,0000000101100001000000001100010001000000100000000100010010000000100000100,0111000010010000000101000001000010100000000010000000100000000110000100010,0000101000000100100010000000000000010010010100000011000000100000000000000,517647702.00955498218536376953125,67709.697000000014668330550193786621
30000,200,0,1,0.5,0.001,0,972286854017075,9,30,2500,1000000001001000000000001001110001100000000010001000000000100000011000001,0000110000000000001000100010000100001000000000000001000010010101100000010,0001000010100000110010010100001000000010010100000100000000000000000010000,529852369.108693897724151611328125,66982.646000000007916241884231567383
NumGens,PopSize,Tree_S,XO_P,XO_R,MU_R,Elitism,RNG_Seed,Trial,FitEvals,EndGen,Geno1,Geno2,Geno3,Fitness,Yield
30000,200,0,1,0.5,0.001,1,972300482021694,0,1337397,9186,1001000000001000011000011011101000001100100011011000000000000100001000101,0010011110100101100100100000000100010011000000100111000001010010000100000,0100100001010010000011000100010011100000010100000000101000101001100001010,50675415.924625076353549957275390625,91867.38499999999476131051778793335
30000,200,0,1,0.5,0.001,1,972349860581963,1,759597,6297,1011000000110000000011001101100100101010001001000000010010000100001001010,0100000110000101101000010010000000010100100110110101001101001001010000101,0000111001001010010100100000011001000001010000001010100000100010100100000,39474699.738122977316379547119140625,93030.514999999999417923390865325928
30000,200,0,1,0.5,0.001,1,972383645190122,2,1562997,10314,1111000000100000110000000111011000000100000111000010000000100110000000000,0000111100001101001100100000000100111010100000101000100011010001100000101,0000000011010010000011011000100001000001011000010101010100001000011001010,31791742.223429046571254730224609375,93915.710999999995692633092403411865
30000,200,0,1,0.5,0.001,1,972440650647909,3,707997,6039,0010000000011000001000000001011000100001000100000000000000000110001100010,1000011010000101100010010010000001001100101011011000101101001001010010101,0101100101100010010101101100100100010010010000100111000000100000100001000,36885841.207285992801189422607421875,92967.665999999997438862919807434082
30000,200,0,1,0.5,0.001,1,972474518959344,4,1743398,11216,1001100000011000001010011011110000011000000010101000100000000000001000101,0110010000100101100000000100001100100100110001000110001000101101100001010,0000001111000010010101100000000001000011001100010001000101000010010100000,27242454.419228944927453994750976562,94624.485000000015133991837501525879
30000,200,0,1,0.5,0.001,1,972535131345949,5,2352997,14264,1110000000000101100010010011000100100000101110100000000001000001000000101,0001101110100010010000000100111000001100010001000111000000100110100000000,0000010001011000001101101000000001010011000000011000100000010000011101010,40386926.567075006663799285888671875,92515.396999999997206032276153564453
30000,200,0,1,0.5,0.001,1,972615928180360,6,999597,7497,1111000000011001100100000001101000001010100000110010000000100010000000101,0000111100000100001010001110010001010100000011001000110010011100100000000,0000000011100010010001110000000100100001011100000101001101000001011001010,28571015.889921020716428756713867188,94333.818999999988591298460960388184
30000,200,0,1,0.5,0.001,1,972657691840553,7,1631397,10656,1000110001100000010000000010010000110010100100100110000000100010001000101,0110000000011000101100101001101100000001000000000001000000000100100101010,0001001110000111000011010100000001001100011011011000101101001001010010000,53067149.59127403795719146728515625,91833.627999999996973201632499694824
30000,200,0,1,0.5,0.001,1,972714908367782,8,1899998,11999,1100100000001101100000000100101000001000100001010010000000100110000000000,0011001101010000001100111011010001010100010110101000100000000000100000101,0000010010100010010011000000000100100011001000000101001101001001011101010,43775605.7794570028781890869140625,92295.006999999997788108885288238525
30000,200,0,1,0.5,0.001,1,972781345684247,9,1511598,10057,0110000000001101001000000101011000100010000101000000000011000010000010010,0000011100100000110010000010100100011000110010100111001000101001010100100,1001100011010010000101111000000011000101000000011000100000010100101001000,39070863.49902202188968658447265625,92679.830000000001746229827404022217
