NumGens,PopSize,Tree_S,XO_P,XO_R,MU_R,Elitism,RNG_Seed,Trial,FitEvals,EndGen,Geno1,Geno2,Geno3,Fitness,Yield
30000,1000,0,1,0.5,0.001,0,259828017205798,0,326,2500,0010010000000001001100001100000000000000000000000000000000010000000000100,0001100110000110000001100000100100101100000000100000100101000010001001000,0000000000001000110010010011010000000000011000001000001000001101010000001,682553735.17158091068267822265625,70863.569000000017695128917694091797
NumGens,PopSize,Tree_S,XO_P,XO_R,MU_R,Elitism,RNG_Seed,Trial,FitEvals,EndGen,Geno1,Geno2,Geno3,Fitness,Yield
30000,5000,0,1,0.6,0.001,1,260029715891068,0,19474998,6394,0110000000010000000000000000001000000000000100010010000000100010000000001,1001000000001101101010010110010001010100100011001000101001011101011001010,0000111111100010010101101001100100101011011000100101000100000000100100100,727323156.32776105403900146484375,99930.904999999998835846781730651855

